Company,Industry,Ticker,Type,Market,Seniority,ISIN,Currency,State,Moody's,S&P,Fitch,Country,Ownership,Maturity,Next Payment,Coupon Type,Coupon Frequency,Coupon,Current Yield,YTM / YTC,Price,Available
RAC,Services,RACLN,Bond,Main Market,Second Lien Secured,XS2401582999,GBP,Open,,B+,,UK,Private,04-11-2027,06-05-2023,Fixed,Biannual,5.25%,6.742,11.176,77.8750,0
Asda,Retail,ASSDLN,Bond,Main Market,Senior Secured,XS2404741238,GBP,Open,B1,,BB+,United Kingdom,Private,16-02-2026,01-04-2023,Fixed,Biannual,4.5%,5.333,10.275,84.3750,0
B&M,Retail,BMELN,Bond,Main Market,Senior Secured,XS2411541738,GBP,Open,Ba2,BB,,United Kingdom,Public,15-11-2028,15-05-2023,Fixed,Biannual,4.0%,5.120,8.770,78.1250,89679.4100
Codere Group,"Entertainment, Media & Broadcasting",CDRSM_SUB,Bond,High Yield,Subordinated,CDRSM_SUBPIK,EUR,Suspended,,,,Spain,Public,30-11-2022,30-11-2022,Payment-In-Kind,Biannual,7.5%,8.427,0.000,89.0000,0
Rothesay Life,Banks & Financials,ROTHLF_5_PERP,Perpetual,Perpetuals,Subordinated,XS2393498204,GBP,Open,,,BBB-,UK,Private,13-10-2031,13-04-2023,Fixed,Biannual,5.0%,7.533,11.021,66.3750,0
Voyage Care,Healthcare,VOYCAR_5.875,Bond,Main Market,Senior Secured,XS2436454768,GBP,Open,B2,B+,,UK,Private,15-02-2027,15-02-2023,Fixed,Biannual,5.875%,6.802,9.877,86.3750,0
Orchard,Banks & Financials,ORCH_6.25,Bond,Main Market,Senior Secured,GB00BMBV8F68,GBP,Open,,,,UK,Public,02-06-2027,02-12-2022,Fixed,Biannual,6.25%,7.032,9.305,88.8750,0
EnQuest,"Energy, Utilities & Infrastructure",ENQLN_9,Bond,High Yield,Subordinated,XS2461853793,GBP,Open,,,,UK,Public,27-10-2027,27-04-2023,Fixed,Biannual,9.0%,8.966,8.902,100.3750,52329.1900
EnQuest,"Energy, Utilities & Infrastructure",ENQLN_9_Suspended,Bond,High Yield,Subordinated,XS2461853793,GBP,Suspended,,,,UK,Public,27-10-2027,27-04-2023,Fixed,Biannual,9.0%,9.000,8.998,100.0000,0
Miller Homes,Property,MLRHOM_7,Bond,Main Market,Senior Secured,XS2447921896,GBP,Open,B1,B+,BB-,UK,Private,15-05-2029,15-05-2023,Fixed,Biannual,7.0%,9.739,13.671,71.8750,0
HM Treasury,Government,UKT_0_¾_07/22/23,Bond,Main Market,Unsecured,GB00BF0HZ991,GBP,Open,Aa3,AA,AA-,United Kingdom,Public,22-07-2023,22-01-2023,Fixed,Biannual,0.75%,0.761,2.879,98.5770,14716.9100
HM Treasury,Government,UKT_1_04/22/24,Bond,Main Market,Unsecured,GB00BFWFPL34,GBP,Open,Aa3,AA,AA-,United Kingdom,Public,22-04-2024,22-04-2023,Fixed,Biannual,1.0%,1.029,3.049,97.1570,20071.1100
HM Treasury,Government,UKT_0_⅛_01/31/23,Bond,Main Market,Unsecured,GB00BL68HG94,GBP,Open,Aa3,AA,AA-,United Kingdom,Public,31-01-2023,31-01-2023,Fixed,Biannual,0.125%,0.126,2.690,99.4820,2691.2100
HM Treasury,Government,UKT_0_⅛_01/31/24,Bond,Main Market,Unsecured,GB00BMGR2791,GBP,Open,Aa3,AA,AA-,United Kingdom,Public,31-01-2024,31-01-2023,Fixed,Biannual,0.125%,0.130,3.127,96.4800,597.2900
HM Treasury,Government,UKTB_0_01/03/23,Bond,Main Market,Unsecured,GB00BP1XHR80,GBP,Open,Aa3,AA,AA-,United Kingdom,Public,03-01-2023,03-01-2023,Fixed,Biannual,0.0%,0.000,2.230,99.7170,0
HM Treasury,Government,UKTB_03/20/23,Bond,Main Market,Unsecured,GB00BP1YJ426,GBP,Open,Aa3,AA,AA-,United Kingdom,Public,20-03-2023,20-03-2023,Fixed,Biannual,0.0%,0.000,2.903,99.0200,0
HM Treasury,Government,UKT_1_¼_07/22/27,Bond,Main Market,Unsecured,GB00BDRHNP05,GBP,Open,Aa3,AA,AA-,United Kingdom,Public,22-07-2027,22-01-2023,Fixed,Biannual,1.25%,1.370,3.290,91.2140,0
HM Treasury,Government,UKT_2_¼_09/07/23,Bond,Main Market,Unsecured,GB00B7Z53659,GBP,Open,Aa3,AA,AA-,United Kingdom,Public,07-09-2023,07-03-2023,Fixed,Biannual,2.25%,2.266,3.123,99.3100,0
Mcdonalds,Consumer & Food,MCD_3_¾_05/31/3,Bond,Main Market,Unsecured,XS2486285021,GBP,Open,Baa1,BBB+,,USA,Public,31-05-2038,31-05-2023,Fixed,Annual,3.75%,4.255,4.796,88.1250,61219.9800
Altice,Cable & Telecoms,SFRFP_8_05/15/27,Bond,Main Market,Senior Secured,XS2138128314,EUR,Open,Caa1,CCC+,,Netherlands,Public,15-05-2027,15-05-2023,Fixed,Biannual,8.0%,10.774,16.302,74.2500,90095.6700
National Grid,"Energy, Utilities & Infrastructure",NGGLN,Bond,Main Market,Unsecured,XS0103338496,GBP,Open,Baa1,BBB+,A-,United Kingdom,Public,16-12-2024,16-12-2022,Fixed,Annual,7.0%,6.723,4.804,104.1250,34567.3200
Imperial Brands,Consumer & Food,IMBLN,Bond,Main Market,Unsecured,XS0683568223,GBP,Open,Baa3,BBB,BBB,United Kingdom,Public,28-09-2026,28-09-2023,Fixed,Annual,5.5%,5.577,5.818,98.6250,49405.2700
Apple,Technology,AAPL,Bond,Main Market,Unsecured,XS1269175466,GBP,Open,Aaa,AA+,AAA,USA,Public,31-07-2029,31-01-2023,Fixed,Biannual,3.05%,3.219,3.948,94.7500,93838.9600
AB InBev,Consumer & Food,ABIBB,Bond,Main Market,Unsecured,BE6295393936,GBP,Open,Baa1,BBB+,BBB,Belgium,Public,24-05-2029,24-05-2023,Fixed,Annual,2.25%,2.605,4.670,86.3750,99771.2800
